line,filename,tool,target,type,num_configs,variability,features
1886,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
784,proc.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
189,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1695,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
756,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
329,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
426,aes.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
627,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1217,bigint.c,CBMC,axtls_2_1_4,array bounds,339,True,CONFIG_BIGINT_MONTGOMERY and -CONFIG_BIGINT_CLASSICAL and -CONFIG_BIGINT_BARRETT
1230,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
68,sha256.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
188,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
302,tls1_svr.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
654,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
88,hmac.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
199,p12.c,CBMC,axtls_2_1_4,array bounds,501,True,CONFIG_SSL_USE_PKCS12
1176,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
213,sha256.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1698,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1400,bigint.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
738,asn1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
112,openssl.c,CBMC,axtls_2_1_4,pointer dereference,485,True,CONFIG_OPENSSL_COMPATIBLE
229,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
371,tls1_svr.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
261,aes.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
295,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_HTTP_USER and CONFIG_HTTP_ENABLE_DIFFERENT_USER
1008,proc.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
389,axhttpd.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1084,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1720,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
187,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
107,sha512.c,CBMC,axtls_2_1_4,array bounds,1000,False,generic
789,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1122,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
376,asn1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
152,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1270,bigint.c,CBMC,axtls_2_1_4,pointer dereference,339,True,CONFIG_BIGINT_BARRETT and -CONFIG_BIGINT_MONTGOMERY and -CONFIG_BIGINT_CLASSICAL
228,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,168,True,CONFIG_DEBUG and CONFIG_HTTP_VERBOSE and -CONFIG_STRIP_UNWANTED_SECTIONS
601,proc.c,CBMC,axtls_2_1_4,pointer dereference,252,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_VERBOSE and CONFIG_HTTP_CGI_LAUNCHER
251,asn1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
54,hmac.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
965,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
185,axhttpd.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
172,proc.c,CBMC,axtls_2_1_4,overflow,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
10,<builtin-library-atoi>,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
47,sha384.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
72,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
198,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
65,rc4.c,CBMC,axtls_2_1_4,overflow,501,True,CONFIG_SSL_USE_PKCS12
95,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
201,sha256.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
139,sha1.c,CBMC,axtls_2_1_4,array bounds,1000,False,generic
95,gen_cert.c,CBMC,axtls_2_1_4,overflow,493,True,CONFIG_SSL_GENERATE_X509_CERT
89,tdate_parse.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
1291,bigint.c,CBMC,axtls_2_1_4,overflow,339,True,CONFIG_BIGINT_BARRETT and -CONFIG_BIGINT_MONTGOMERY and -CONFIG_BIGINT_CLASSICAL
18,<builtin-library-pipe>,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
1396,bigint.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
343,aes.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1148,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
231,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
206,aes.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
